DATE;e_calcium;e_calories;e_carbs;e_cholesterol;e_fiber;e_protein;e_sat_fat;e_sodium;e_sugar;e_unsat_fat;m_active_time;m_calories;m_distance;m_inactive_time;m_lcat;m_lcit;m_steps;m_workout_count;m_workout_time;n_asleep_time;n_awake;n_awake_time;n_awakenings;n_bedtime;n_deep;n_duration;n_light;n_quality;o_count;o_mood;s_asleep_time;s_awake;s_awake_time;s_awakenings;s_bedtime;s_deep;s_duration;s_light;s_quality
20130711;;;;;;;;;;;8584;905,81600289;13924;27480;1544;4320;16513;0;0;;;;;;;;;;;;303;1742;607;2;297;9169;16964;7795;51
20130712;;;;;;;;;;;1145;117,820000231;1836;32100;822;21480;2183;0;0;;;;;;;;;;;;68;8455;1094;7;64;25740;53572;27832;100
20130713;;;;;;;;;;;443;47,8970000148;724;32340;145;26160;851;0;0;;;;;;;;;;;;;;;;;;;;
20130714;;;;;;;;;;;3268;333,357998282;5303;28740;1155;15540;6337;0;0;;;;;;;;;;;;173;686;567;0;162;12960;23760;10800;78
20130715;;;;;;;;;;;5441;584,214001879;8870;25800;784;5640;10508;0;0;;;;;;;;;;;;113;1096;442;1;102;7560;19574;12014;60
20130716;;;;;;;;;;;3426;354,328000963;5448;28320;1067;10080;6533;0;0;;;;;;;;;;;;178;2096;646;1;166;10352;26871;16519;77
20130717;;;;;;;;;;;4236;452,422999665;6907;24600;577;18840;8174;0;0;;;;;;;;;;;;1391;4451;655;2;1375;15016;41667;26651;100
20130718;;;;;;;;;;;5535;619,493000865;9328;24480;1572;9120;10892;0;0;;;;;;;;;;;;25;1892;629;1;14;17185;35232;18047;100
20130719;;;;;;;;;;;657;71,3920009732;1064;31860;204;12420;1265;0;0;;;;;;;;;;;;217;671;451;0;206;6181;14050;7869;45
20130720;;;;;;;;;;;5173;543,4630014;8455;24840;1203;11940;10003;0;0;;;;;;;;;;;;;;;;;;;;
20130721;;;;;;;;;;;196;18,5579999685;304;0;196;0;367;0;0;;;;;;;;;;;;;;;;;;;;
20130724;;;;;;;;;;;26;2,5860000849;41;29100;26;29100;49;0;0;;;;;;;;;;;;;;;;;;;;
20130725;;;;;;;;;;;1207;299;0;0;0;0;0;2;1207;;;;;;;;;;;;;;;;;;;;
20130726;;;;;;;;;;;3413;452,176000282;4266;30180;531;10080;5118;1;732;;;;;;;;;;;;;;;;;;;;
20130727;;;;;;;;;;;6717;784,699001029;11542;21960;1963;6900;13158;0;0;;;;;;;;;;;;90;1411;484;0;69;9480;23820;14340;72
20130728;;;;;;;;;;;8574;1042,72399926;10068;20820;946;6780;12395;1;1802;;;;;;;;;;;;;;;;;;;;
20130729;;;;;;;;;;;9457;1254,702005;17491;13800;2293;3180;19120;0;0;;;;;;;;;;;;97;961;441;0;81;10321;20905;10584;69
20130804;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
